2026-05-26 16:37:19,015 | ERROR   | auth.seed:34 | Error seeding users: (psycopg2.errors.UndefinedColumn) column users.hashed_password does not exist
LINE 1: ...id AS users_id, users.username AS users_username, users.hash...
                                                             ^

[SQL: SELECT users.id AS users_id, users.username AS users_username, users.hashed_password AS users_hashed_password, users.role AS users_role, users.created_at AS users_created_at 
FROM users 
WHERE users.username = %(username_1)s 
 LIMIT %(param_1)s]
[parameters: {'username_1': 'admin', 'param_1': 1}]
(Background on this error at: https://sqlalche.me/e/20/f405)
2026-05-26 16:38:32,548 | DEBUG   | passlib.handlers.bcrypt:625 | detected 'bcrypt' backend, version '4.0.1'
2026-05-26 16:38:32,549 | DEBUG   | passlib.handlers.bcrypt:406 | 'bcrypt' backend lacks $2$ support, enabling workaround
2026-05-26 16:38:32,786 | DEBUG   | auth.utils:13 | Password hashed successfully
2026-05-26 16:38:32,787 | INFO    | auth.seed:29 | Seeded user: admin (role=admin)
2026-05-26 16:38:33,007 | DEBUG   | auth.utils:13 | Password hashed successfully
2026-05-26 16:38:33,008 | INFO    | auth.seed:29 | Seeded user: user (role=user)
2026-05-26 16:38:33,010 | INFO    | auth.seed:31 | User seeding complete
2026-05-26 17:15:07,500 | DEBUG   | auth.seed:21 | User 'admin' already exists, skipping
2026-05-26 17:15:07,501 | DEBUG   | auth.seed:21 | User 'user' already exists, skipping
2026-05-26 17:15:07,502 | INFO    | auth.seed:31 | User seeding complete
2026-05-26 17:20:22,837 | DEBUG   | auth.seed:21 | User 'admin' already exists, skipping
2026-05-26 17:20:22,838 | DEBUG   | auth.seed:21 | User 'user' already exists, skipping
2026-05-26 17:20:22,838 | INFO    | auth.seed:31 | User seeding complete
2026-05-26 17:20:22,844 | INFO    | main:94 | Initializing DatabaseAgent for conversation 57a987af-c570-4a72-89a2-d9153f1410c9 (role=admin)
2026-05-26 17:20:23,870 | DEBUG   | mcp.server.lowlevel.server:162 | Initializing server 'Student Database MCP Server'
2026-05-26 17:20:23,870 | DEBUG   | mcp.server.lowlevel.server:439 | Registering handler for ListToolsRequest
2026-05-26 17:20:23,870 | DEBUG   | mcp.server.lowlevel.server:519 | Registering handler for CallToolRequest
2026-05-26 17:20:23,870 | DEBUG   | mcp.server.lowlevel.server:301 | Registering handler for ListResourcesRequest
2026-05-26 17:20:23,870 | DEBUG   | mcp.server.lowlevel.server:336 | Registering handler for ReadResourceRequest
2026-05-26 17:20:23,870 | DEBUG   | mcp.server.lowlevel.server:263 | Registering handler for PromptListRequest
2026-05-26 17:20:23,870 | DEBUG   | mcp.server.lowlevel.server:285 | Registering handler for GetPromptRequest
2026-05-26 17:20:23,870 | DEBUG   | mcp.server.lowlevel.server:321 | Registering handler for ListResourceTemplatesRequest
2026-05-26 17:20:23,917 | DEBUG   | asyncio:626 | Using proactor: IocpProactor
2026-05-26 17:20:23,931 | INFO    | agent:199 | Agent created for role=admin with 37 tools (full access)
2026-05-26 17:20:23,988 | INFO    | main:96 | Agent ready with 37 tools (role=admin)
2026-05-26 17:20:23,989 | WARNING | main:83 | Role mismatch for conversation 57a987af-c570-4a72-89a2-d9153f1410c9: cached=admin, requested=user. Creating new agent.
2026-05-26 17:20:23,989 | DEBUG   | asyncio:626 | Using proactor: IocpProactor
